0,-6.319785e+01
5.384615e+00,-6.340400e+01
1.076923e+01,-6.402153e+01
1.615385e+01,-6.504530e+01
2.153846e+01,-6.645656e+01
2.692308e+01,-6.819583e+01
3.230769e+01,-7.009516e+01
3.769231e+01,-7.176434e+01
4.307692e+01,-7.263017e+01
4.846154e+01,-7.245666e+01
5.384615e+01,-7.161708e+01
5.923077e+01,-7.056696e+01
6.461538e+01,-6.954776e+01
70,-6.865944e+01
7.538462e+01,-6.794607e+01
8.076923e+01,-6.742785e+01
8.615385e+01,-6.710843e+01
9.153846e+01,-6.697609e+01
9.692308e+01,-6.700419e+01
1.023077e+02,-6.715232e+01
1.076923e+02,-6.736778e+01
1.130769e+02,-6.758748e+01
1.184615e+02,-6.774169e+01
1.238462e+02,-6.776343e+01
1.292308e+02,-6.760536e+01
1.346154e+02,-6.725712e+01
140,-6.674866e+01
1.453846e+02,-6.613564e+01
1.507692e+02,-6.547979e+01
1.561538e+02,-6.483712e+01
1.615385e+02,-6.425521e+01
1.669231e+02,-6.377381e+01
1.723077e+02,-6.342376e+01
1.776923e+02,-6.322293e+01
1.830769e+02,-6.316919e+01
1.884615e+02,-6.323149e+01
1.938462e+02,-6.334343e+01
1.992308e+02,-6.341072e+01
2.046154e+02,-6.334659e+01
2.100000e+02,-6.312387e+01
2.153846e+02,-6.279555e+01
2.207692e+02,-6.245819e+01
2.261538e+02,-6.219771e+01
2.315385e+02,-6.205934e+01
2.369231e+02,-6.204510e+01
2.423077e+02,-6.212687e+01
2.476923e+02,-6.226807e+01
2.530769e+02,-6.244737e+01
2.584615e+02,-6.267235e+01
2.638462e+02,-6.297396e+01
2.692308e+02,-6.338641e+01
2.746154e+02,-6.392553e+01
280,-6.457377e+01
2.853846e+02,-6.527412e+01
2.907692e+02,-6.593700e+01
2.961538e+02,-6.646588e+01
3.015385e+02,-6.679546e+01
3.069231e+02,-6.691408e+01
3.123077e+02,-6.685098e+01
3.176923e+02,-6.664763e+01
3.230769e+02,-6.634266e+01
3.284615e+02,-6.597354e+01
3.338462e+02,-6.557955e+01
3.392308e+02,-6.519657e+01
3.446154e+02,-6.484734e+01
350,-6.453590e+01
3.553846e+02,-6.425181e+01
3.607692e+02,-6.398316e+01
3.661538e+02,-6.373063e+01
3.715385e+02,-6.351236e+01
3.769231e+02,-6.335587e+01
3.823077e+02,-6.328335e+01
3.876923e+02,-6.329995e+01
3.930769e+02,-6.339048e+01
3.984615e+02,-6.352526e+01
4.038462e+02,-6.367254e+01
4.092308e+02,-6.381154e+01
4.146154e+02,-6.393896e+01
4.200000e+02,-6.406679e+01
4.253846e+02,-6.421554e+01
4.307692e+02,-6.440847e+01
4.361538e+02,-6.466779e+01
4.415385e+02,-6.501063e+01
4.469231e+02,-6.544265e+01
4.523077e+02,-6.595021e+01
4.576923e+02,-6.649453e+01
4.630769e+02,-6.701403e+01
4.684615e+02,-6.744104e+01
4.738462e+02,-6.772986e+01
4.792308e+02,-6.787704e+01
4.846154e+02,-6.791549e+01
4.900000e+02,-6.788881e+01
4.953846e+02,-6.782843e+01
5.007692e+02,-6.774596e+01
5.061538e+02,-6.763856e+01
5.115385e+02,-6.750039e+01
5.169231e+02,-6.733337e+01
5.223077e+02,-6.715137e+01
5.276923e+02,-6.697631e+01
5.330769e+02,-6.682938e+01
5.384615e+02,-6.672348e+01
5.438462e+02,-6.666086e+01
5.492308e+02,-6.663671e+01
5.546154e+02,-6.664618e+01
560,-6.669067e+01
5.653846e+02,-6.677935e+01
5.707692e+02,-6.692486e+01
5.761538e+02,-6.713561e+01
5.815385e+02,-6.740828e+01
5.869231e+02,-6.772381e+01
5.923077e+02,-6.804938e+01
5.976923e+02,-6.834733e+01
6.030769e+02,-6.858827e+01
6.084615e+02,-6.876061e+01
6.138462e+02,-6.886939e+01
6.192308e+02,-6.892659e+01
6.246154e+02,-6.894223e+01
630,-6.892330e+01
6.353846e+02,-6.887813e+01
6.407692e+02,-6.881884e+01
6.461538e+02,-6.875707e+01
6.515385e+02,-6.869604e+01
6.569231e+02,-6.862695e+01
6.623077e+02,-6.853548e+01
6.676923e+02,-6.841605e+01
6.730769e+02,-6.828286e+01
6.784615e+02,-6.816676e+01
6.838462e+02,-6.809891e+01
6.892308e+02,-6.809167e+01
6.946154e+02,-6.812727e+01
700,-6.816042e+01
7.053846e+02,-6.813776e+01
7.107692e+02,-6.802782e+01
7.161538e+02,-6.784025e+01
7.215385e+02,-6.761697e+01
7.269231e+02,-6.740344e+01
7.323077e+02,-6.722292e+01
7.376923e+02,-6.706653e+01
7.430769e+02,-6.690026e+01
7.484615e+02,-6.668643e+01
7.538462e+02,-6.641020e+01
7.592308e+02,-6.609341e+01
7.646154e+02,-6.578387e+01
7.700000e+02,-6.552942e+01
7.753846e+02,-6.535522e+01
7.807692e+02,-6.525445e+01
7.861538e+02,-6.519402e+01
7.915385e+02,-6.513442e+01
7.969231e+02,-6.505608e+01
8.023077e+02,-6.497514e+01
8.076923e+02,-6.493589e+01
8.130769e+02,-6.498688e+01
8.184615e+02,-6.515816e+01
8.238462e+02,-6.544893e+01
8.292308e+02,-6.582613e+01
8.346154e+02,-6.623375e+01
8.400000e+02,-6.661343e+01
8.453846e+02,-6.692972e+01
8.507692e+02,-6.718357e+01
8.561538e+02,-6.740344e+01
8.615385e+02,-6.762416e+01
8.669231e+02,-6.787148e+01
8.723077e+02,-6.815938e+01
8.776923e+02,-6.849483e+01
8.830769e+02,-6.888208e+01
8.884615e+02,-6.932165e+01
8.938462e+02,-6.980509e+01
